Item number,Name,Brand,Modul,Cost Value,november,december,januar,februar,marts,april,maj,juni,juli,august,september,oktober,Total
43965,Funko! POP Exclusive Marvel: 80th Iron Man Model39,Funko!,Købsordre,32.21167,0,348,0.0,0.0,0,0.0,0,0.0,0,0,0,0,348.0
43965,Funko! POP Exclusive Marvel: 80th Iron Man Model39,Funko!,Stock,32.21167,0,348,348.0,348.0,348,348.0,348,348.0,348,348,348,348,348.0
43970,Funko! POP Exclusive 80th Joker is Wild Batman,Funko!,Købsordre,38.72,0,348,0.0,0.0,0,0.0,0,0.0,0,0,0,0,348.0
43970,Funko! POP Exclusive 80th Joker is Wild Batman,Funko!,SalgsOrdre DK,38.72,0,344,0.0,0.0,0,0.0,0,0.0,0,0,0,0,344.0
43970,Funko! POP Exclusive 80th Joker is Wild Batman,Funko!,Stock,38.72,0,4,4.0,4.0,4,4.0,4,4.0,4,4,4,4,4.0
44118,Funko! POP VINYL NHL: Rangers Henry Lundqvist (Hom,Funko!,Købsordre,27.32637,36,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,36.0
44118,Funko! POP VINYL NHL: Rangers Henry Lundqvist (Hom,Funko!,SalgsOrdre SE,27.32637,0,120,0.0,0.0,0,0.0,0,0.0,0,0,0,0,120.0
44118,Funko! POP VINYL NHL: Rangers Henry Lundqvist (Hom,Funko!,Stock,27.32637,138,18,18.0,18.0,18,18.0,18,18.0,18,18,18,18,18.0
44145,Funko! POP VINYL KKOS Jumbo,Funko!,Købsordre,35.12,306,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,306.0
44145,Funko! POP VINYL KKOS Jumbo,Funko!,Stock,35.12,306,306,306.0,306.0,306,306.0,306,306.0,306,306,306,306,306.0
44146,Funko! POP VINYL KKOS Shorty,Funko!,Købsordre,35.12,204,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,204.0
44146,Funko! POP VINYL KKOS Shorty,Funko!,Stock,35.12,204,204,204.0,204.0,204,204.0,204,204.0,204,204,204,204,204.0
44147,Funko! POP VINYL KKOS Spikey,Funko!,Købsordre,35.12,204,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,204.0
